,date,sentiment_score,source
728,2019-01-02,0.991169,sina
453,2019-01-02,0.991337,yuncaijing
655,2019-01-02,0.935397,wallstreetcn
1653,2019-01-04,0.898154,sina
1063,2019-01-04,0.915328,yuncaijing
2380,2019-01-08,0.633473,yuncaijing
13740,2019-01-29,0.883172,sina
16982,2019-01-29,0.883172,wallstreetcn
26848,2019-02-19,0.767813,wallstreetcn
26855,2019-02-19,0.767813,wallstreetcn
9445,2019-02-19,0.818626,yuncaijing
13977,2019-02-19,0.986992,eastmoney
21738,2019-02-19,0.986992,sina
21623,2019-02-19,0.619427,sina
31575,2019-02-26,0.320127,wallstreetcn
16375,2019-02-26,0.388748,eastmoney
31521,2019-02-26,0.160367,wallstreetcn
31568,2019-02-26,0.905105,wallstreetcn
4983,2019-02-26,0.756388,10jqka
25100,2019-02-26,0.802176,sina
11583,2019-02-26,0.881977,yuncaijing
31961,2019-03-12,0.965443,sina
40793,2019-03-12,0.959086,wallstreetcn
40782,2019-03-12,0.976616,wallstreetcn
21004,2019-03-12,0.965443,eastmoney
21320,2019-03-29,0.564588,yuncaijing
40218,2019-03-29,0.472319,sina
54358,2019-04-03,0.41891,wallstreetcn
22913,2019-04-03,0.560721,yuncaijing
42848,2019-04-03,0.693535,sina
28063,2019-04-03,0.668637,eastmoney
54320,2019-04-03,0.712035,wallstreetcn
56540,2019-04-08,0.530336,wallstreetcn
56477,2019-04-08,0.804359,wallstreetcn
29322,2019-04-08,0.292532,eastmoney
23936,2019-04-08,0.627775,yuncaijing
44588,2019-04-08,0.459144,sina
9187,2019-04-08,0.511443,10jqka
24307,2019-04-09,0.501287,yuncaijing
57182,2019-04-09,0.137336,wallstreetcn
57226,2019-04-09,0.340336,wallstreetcn
29678,2019-04-09,0.601177,eastmoney
45242,2019-04-09,0.600864,sina
9333,2019-04-09,0.600864,10jqka
25457,2019-04-12,0.772236,yuncaijing
59614,2019-04-12,0.714213,wallstreetcn
60344,2019-04-14,0.103413,wallstreetcn
60343,2019-04-14,0.103413,wallstreetcn
25818,2019-04-14,0.305348,yuncaijing
47569,2019-04-14,0.103667,sina
31198,2019-04-14,0.285565,eastmoney
60845,2019-04-15,0.582075,wallstreetcn
60829,2019-04-15,0.438844,wallstreetcn
52633,2019-04-25,0.520019,sina
54842,2019-04-30,0.716587,sina
73829,2019-05-09,0.732965,wallstreetcn
58359,2019-05-09,0.732965,sina
64558,2019-05-22,0.981228,sina
81104,2019-05-22,0.981228,wallstreetcn
35215,2019-05-22,0.982238,yuncaijing
70792,2019-06-04,0.921675,sina
48742,2019-06-11,0.898086,eastmoney
48749,2019-06-11,0.0387627,eastmoney
40312,2019-06-11,0.851076,yuncaijing
40316,2019-06-11,0.699532,yuncaijing
74199,2019-06-11,0.581605,sina
74192,2019-06-11,0.784654,sina
74651,2019-06-12,0.8755,sina
49073,2019-06-12,0.888755,eastmoney
20419,2019-06-18,0.259836,10jqka
42097,2019-06-18,0.364351,yuncaijing
77054,2019-06-18,0.259836,sina
85906,2019-07-08,0.562758,sina
25654,2019-07-08,0.573132,10jqka
50260,2019-07-16,0.325445,yuncaijing
91122,2019-07-18,0.69291,sina
61717,2019-08-26,0.487963,yuncaijing
109265,2019-08-30,0.0900275,sina
109401,2019-08-30,0.430958,sina
63483,2019-08-30,0.115729,yuncaijing
63585,2019-08-30,0.524283,yuncaijing
